Date,pos,neg,net,abs,Close,Volume,Open,High,Low,ShortVolume,ShortExemptVolume,Short Per,Short up,Shortperch,Short Exempt Per,Nextopen
20210128,0.015736767,0.01669051,-0.000953743,0.032427277,8.630000114,591223900,11.97999954,16.5,6.510000229,65879740,5762498,0.111429426,,,0.009746727,14.31000042
20210129,0.014898224,0.020614985,-0.005716761,0.035513209,13.26000023,602193300,14.31000042,16,11.60000038,147053814,6307292,0.244197028,81174074,0.132767601,0.010473866,17
20210201,0.025263158,0.02,0.005263158,0.045263158,13.30000019,434608000,17,17.25,12.90999985,76933491,986909,0.17701812,-70120323,-0.067178908,0.002270803,9.479999542
20210202,0.019096117,0.02991725,-0.010821133,0.049013367,7.820000172,462775900,9.479999542,10.10000038,6,120244517,5744009,0.259833144,43311026,0.082815024,0.012412075,8.850000381
20210203,0.020465995,0.026763224,-0.006297229,0.047229219,8.970000267,221405100,8.850000381,9.770000458,7.889999866,61535474,3918022,0.277931601,-58709043,0.018098458,0.017696169,8.699999809
20210204,0.018734177,0.025316456,-0.006582278,0.044050633,7.090000153,162985800,8.699999809,8.739999771,7,44880962,2248578,0.275367314,-16654512,-0.002564287,0.013796159,7.170000076
20210205,0.017667845,0.026698076,-0.009030232,0.044365921,6.829999924,195267800,7.170000076,8.270000458,6.519999981,59444755,2116603,0.304426818,14563793,0.029059504,0.010839488,6.880000114
20210208,0.017482517,0.020979021,-0.003496503,0.038461538,6.179999828,128171500,6.880000114,6.889999866,5.75,39970406,1810126,0.311850965,-19474349,0.007424147,0.014122687,5.809999943
20210209,0.025477707,0.025477707,0,0.050955414,5.5,102588100,5.809999943,5.809999943,5.260000229,20727999,1536449,0.202050715,-19242407,-0.10980025,0.014976874,5.710000038
20210210,0,0.018518519,-0.018518519,0.018518519,5.800000191,152810800,5.710000038,6.590000153,5.449999809,24840204,1327153,0.162555291,4112205,-0.039495425,0.008684942,5.619999886
20210211,0,0.020833333,-0.020833333,0.020833333,5.610000134,55482400,5.619999886,5.849999905,5.46999979,11643237,123722,0.209854603,-13196967,0.047299312,0.002229932,5.71999979
20210212,0,0.119047619,-0.119047619,0.119047619,5.590000153,46036700,5.71999979,5.96999979,5.519999981,8018464,134288,0.174175473,-3624773,-0.035679129,0.002916977,6.03000021
20210216,0.076923077,0,0.076923077,0.076923077,5.650000095,61165700,6.03000021,6.050000191,5.489999771,13553486,157971,0.221586379,5535022,0.047410906,0.002582673,5.579999924
