Date,pos,neg,net,abs,Close,Volume,Open,High,Low,Short Volume,Short Exempt Volume,Short Per,Short up,Shortperch,Short Exempt Per,Nextopen
01/28/2021,0.017803468,0.024046243,-0.006242775,0.041849711,193.6,58815810,265,483,112.25,9606123,455032,0.163325524,,,0.007736559,379.71
01/29/2021,0.017830669,0.022017871,-0.004187202,0.039848539,325,50566060,379.71,413.98,250,8814229,527920,0.174311168,-791894,0.010985644,0.010440204,316.56
02/01/2021,0.018380744,0.03107221,-0.012691466,0.049452954,225,37382150,316.56,322,212,6982444,364890,0.186785511,-1831785,0.012474343,0.009761076,140.76
02/02/2021,0.021863273,0.026431718,-0.004568445,0.048294991,90,78183070,140.76,158,74.2201,16358136,1073011,0.209228622,9375692,0.022443111,0.01372434,112.01
02/03/2021,0.022329333,0.027641157,-0.005311824,0.04997049,92.41,42698510,112.01,113.3999,85.25,9638240,532939,0.225727783,-6719896,0.016499161,0.012481443,91.19
02/04/2021,0.019932936,0.025149031,-0.005216095,0.045081967,53.5,62427280,91.19,91.5,53.33,14272780,869183,0.228630496,4634540,0.002902713,0.013923128,54.04
02/05/2021,0.018808092,0.025150355,-0.006342264,0.043958447,63.77,81345010,54.04,95,51.09,19063724,1106467,0.234356404,4790944,0.005725908,0.01360215,72.41
02/08/2021,0.02844639,0.031728665,-0.003282276,0.060175055,60,25687280,72.41,72.66,58.02,6404809,82425,0.249337766,-12658915,0.014981362,0.003208787,56.61
02/09/2021,0.018223235,0.011389522,0.006833713,0.029612756,50.31,26843080,56.61,57,46.52,6516142,277522,0.242749416,111333,-0.006588349,0.010338679,50.77
02/10/2021,0.021526419,0.039138943,-0.017612524,0.060665362,51.2,36455040,50.77,62.83,46.55,6587323,241069,0.180697182,71181,-0.062052234,0.006612776,50.01
02/11/2021,0.022222222,0.017777778,0.004444444,0.04,51.1,13056730,50.01,55.32,48.2201,2234229,33414,0.171117041,-4353094,-0.009580141,0.00255914,50.75
02/12/2021,0.031746032,0.063492063,-0.031746032,0.095238095,52.4,14573260,50.75,55.24,48.05,2061991,50915,0.141491403,-172238,-0.029625638,0.003493728,52.66
02/16/2021,0.032258065,0.064516129,-0.032258065,0.096774194,49.51,8175030,52.66,53.5,49.04,2120102,25796,0.259338742,58111,0.11784734,0.003155462,49.77
02/17/2021,0.012396694,0.033057851,-0.020661157,0.045454545,45.94,9260795,49.77,51.19,44.56,2155470,24521,0.232752156,35368,-0.026586587,0.002647829,48.49
02/18/2021,0.02027027,0.028716216,-0.008445946,0.048986486,40.69,23990560,48.49,48.87,40.65,4429950,42067,0.184653881,2274480,-0.048098275,0.001753481,41.28
02/19/2021,0.014531044,0.014531044,0,0.029062087,40.59,14828240,41.28,43.89,38.5,2190404,134794,0.147718408,-2239546,-0.036935473,0.009090357,46.69
02/22/2021,0.031674208,0.022624434,0.009049774,0.054298643,46,19476020,46.69,48.51,42.4,5477700,95055,0.281253562,3287296,0.133535154,0.004880617,44.97
02/23/2021,0.02173913,0.036231884,-0.014492754,0.057971014,44.97,7565215,44.97,46.23,40,1772742,51454,0.23432804,-3704958,-0.046925522,0.006801393,44.7
02/24/2021,0.038860104,0.020725389,0.018134715,0.059585492,91.71,83111740,44.7,91.71,44.7,11911548,481499,0.14331968,10138806,-0.091008359,0.005793393,169.56
02/25/2021,0.02804878,0.009756098,0.018292683,0.037804878,108.73,150308800,169.56,184.68,101,33187254,560135,0.220793819,21275706,0.077474139,0.003726562,117.46
02/26/2021,0.025471698,0.019339623,0.006132075,0.044811321,101.74,92194150,117.46,142.9,86,22264902,1079465,0.24150016,-10922352,0.020706341,0.011708606,104.54
