Date,pos,neg,net,abs,Close,Volume,Open,High,Low,Short Volume,Short Exempt Volume,Short Per,Short up,Shortperch,Short Exempt Per,Nextopen
01/28/2021,0.027522936,0.018348624,0.009174312,0.04587156,35.66,85250700,39.540001,42,33.099998,23130317,809070,0.271321139,,,0.009490479,36.610001
01/29/2021,0.005865103,0.032258065,-0.026392962,0.038123167,35.18,42030900,36.610001,38.009998,34.66,10293959,630121,0.244914075,-12836358,-0.026407064,0.014991851,35.330002
02/01/2021,0,0,0,0,33.959999,43460900,35.330002,35.619999,32.580002,11840636,95715,0.272443415,1546677,0.02752934,0.002202324,34.099998
02/02/2021,0,0,0,0,31.02,69647900,34.099998,34.200001,30.5,19231252,492216,0.27612106,7390616,0.003677646,0.007067205,32.389999
02/03/2021,0.017241379,0.00862069,0.00862069,0.025862069,31.76,35312000,32.389999,32.950001,31.379999,9381871,374761,0.265685065,-9849381,-0.010435996,0.010612851,32.580002
02/04/2021,0.019607843,0,0.019607843,0.019607843,32.049999,31565000,32.580002,33.18,31.049999,9150435,141065,0.289891811,-231436,0.024206746,0.004469032,32.610001
02/05/2021,0.018181818,0,0.018181818,0.018181818,34.049999,62230800,32.610001,35.200001,31.75,14667298,208177,0.23569194,5516863,-0.05419987,0.003345241,37.220001
02/08/2021,0,0,0,0,36.049999,72376000,37.220001,39.220001,35.889999,11841954,115360,0.163617138,-2825344,-0.072074802,0.001593899,36.900002
02/09/2021,0,0,0,0,38.169998,44243200,36.900002,38.255001,36.130001,7292643,90561,0.164830821,-4549311,0.001213683,0.002046891,38.150002
02/10/2021,0,0.111111111,-0.111111111,0.111111111,35.700001,45177200,38.150002,38.240002,35,7049015,111688,0.156030365,-243628,-0.008800457,0.002472221,35.790001
02/11/2021,0,0.027777778,-0.027777778,0.027777778,33.110001,51863200,35.790001,35.98,32.610001,9817041,104907,0.189287221,2768026,0.033256856,0.002022764,33.360001
02/12/2021,0.045454545,0.045454545,0,0.090909091,31.91,60359100,33.360001,33.650002,31.34,10996795,141903,0.182189512,1179754,-0.007097709,0.002350979,30.02
02/16/2021,0,0.020408163,-0.020408163,0.020408163,27.84,180294300,30.02,30.440001,27.299999,31763449,771478,0.176175559,20766654,-0.006013954,0.004278993,27.99
02/17/2021,0.018087855,0.031007752,-0.012919897,0.049095607,27.08,151007000,27.99,29.73,27,27973805,655852,0.185248399,-3789644,0.009072841,0.004343189,24.99
