Date,pos,neg,net,abs,ShortVolume,ShortExemptVolume,Open,High,Low,Close,Volume,Short Per,Short up,Shortperch,Short Exempt Per,Nextopen
20210128,0.0125,0.01875,-0.00625,0.03125,5613434,49138,820,848,801,835.43,26378000,0.212807415,,,0.00186284,830
20210129,0.016488846,0.024248303,-0.007759457,0.040737148,7821075,61470,830,842.41,780.1,793.53,34990800,0.223518039,2207641,0.010710624,0.001756747,814.29
20210201,0.037313433,0.037313433,0,0.074626866,4278149,100866,814.29,842,795.56,839.81,25391400,0.16848811,-3542926,-0.055029929,0.003972447,844.68
20210202,0.01369863,0.01369863,0,0.02739726,3998789,46157,844.68,880.5,842.2,872.79,24346200,0.164246946,-279360,-0.004241164,0.001895861,877.02
20210203,0.036082474,0.036082474,0,0.072164948,2816174,24431,877.02,878.08,853.06,854.69,18343500,0.153524355,-1182615,-0.010722591,0.001331861,855
20210204,0.036144578,0,0.036144578,0.036144578,2500055,21214,855,856.5,833.42,849.99,15812700,0.158104245,-316119,0.004579891,0.00134158,845
20210205,0.026392962,0.023460411,0.002932551,0.049853372,2931669,44287,845,864.77,838.97,852.23,18566600,0.157900154,431614,-0.000204091,0.002385305,869.67
20210208,0,0,0,0,3066176,29689,869.67,877.77,854.75,863.42,20161700,0.152079239,134507,-0.005820915,0.001472544,855.12
20210209,0,0,0,0,2392436,16322,855.12,859.8,841.75,849.46,15157700,0.157836347,-673740,0.005757108,0.001076812,843.64
20210210,0.074074074,0.037037037,0.037037037,0.111111111,5762370,48522,843.64,844.82,800.02,804.82,36216100,0.159110727,3369934,0.00127438,0.001339791,812.44
20210211,0,0,0,0,3687732,31040,812.44,829.88,801.73,811.66,21622800,0.17054831,-2074638,0.011437583,0.001435522,801.26
20210212,0.060606061,0.060606061,0,0.121212121,5815550,49380,801.26,817.33,785.33,816.12,23768300,0.244676733,2127818,0.074128423,0.002077557,818
20210216,0,0.027027027,-0.027027027,0.027027027,4310880,36292,818,821,792.44,796.22,19802300,0.217695924,-1504670,-0.026980809,0.001832716,779.09
20210217,0.027777778,0.041666667,-0.013888889,0.069444444,6401669,34490,779.09,799.84,762.01,798.15,25996500,0.246251188,2090789,0.028555263,0.001326717,780.9
20210218,0.014285714,0.05,-0.035714286,0.064285714,4729445,18853,780.9,794.69,776.27,787.38,17957100,0.263374654,-1672224,0.017123466,0.001049891,795
20210219,0.055555556,0.027777778,0.027777778,0.083333333,4699899,28143,795,796.79,777.37,781.3,18958300,0.247907196,-29546,-0.015467458,0.001484469,762.64
20210222,0.083333333,0,0.083333333,0.083333333,5986774,87389,762.64,768.5,710.2,714.5,37269700,0.160633812,1286875,-0.087273384,0.002344773,662.13
20210223,0.012658228,0.025316456,-0.012658228,0.037974684,9567840,486013,662.13,713.61,619,698.84,66606900,0.143646379,3581066,-0.016987433,0.007296737,711.85
